Category,Partner Website/Brand,Coupon Amount,Rewards Percentage,Discount,Offer Summary,Terms and Condition,Offers Name,How to Use,Special Award,Festival Name,Tag,Offer Summary Cleaned,Offer Summary Normalized,Context Info,Personalized Offer,Formatted Email,Formatted Tweet,Formatted Blog,Formatted Push,Validated Offer
Dining,Zomato,2500,5,20% Off,Get exciting discounts on your favorite brands.,Cannot be clubbed with other offers.,Mega Cashback Offer,Show QR code at store.,No,,redemption,get exciting discounts favorite brands,get exciting discount favorite bands from Zomato,"{'entities': {'Zomato': 'PERSON'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'Zomato']}",Exclusive Dining offer from Zomato! get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Zomato! get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Zomato! get exciting discount favorite bands from Zomato Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Zomato! get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Zomato! get exciting d,Exclusive Dining offer from Tomato! get exciting discount favorite bands from Tomato Haste the best with premium dining discount.
Dining,Zomato,100,20,100 Off,Limited time offer - grab now!,Terms and conditions apply as per the brand.,Flash Sale Special,Show QR code at store.,No,,reward,limited time offer grab,limited time offer grab from Zomato,"{'entities': {'Zomato': 'PERSON'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Zomato']}",Exclusive Dining offer from Zomato! limited time offer grab from Zomato Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Zomato! limited time offer grab from Zomato Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Zomato! limited time offer grab from Zomato Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Zomato! limited time offer grab from Zomato Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Zomato! limited time o,Exclusive Dining offer from Tomato! limited time offer grab from Tomato Haste the best with premium dining discount.
Dining,Zomato,2000,30,15% Off,Exclusive cashback on selected brands.,Cannot be clubbed with other offers.,Super Saver Deal,Show QR code at store.,No,,bonus,exclusive cashback selected brands,exclusive cashback selected bands from Zomato,"{'entities': {'Zomato': 'PERSON'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'Zomato']}",Exclusive Dining offer from Zomato! exclusive cashback selected bands from Zomato Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Zomato! exclusive cashback selected bands from Zomato Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Zomato! exclusive cashback selected bands from Zomato Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Zomato! exclusive cashback selected bands from Zomato Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Zomato! exclusive cash,Exclusive Dining offer from Tomato! exclusive cashback selected bands from Tomato Haste the best with premium dining discount.
Wellness,HealthKart,500,15,15% Off,Special Eid Offer: Get exciting discounts on your favorite brands.,Cannot be clubbed with other offers.,Super Saver Deal,Discount auto-applied on cart.,Yes,Eid,bonus,special eid offer get exciting discounts favorite brands,special did offer get exciting discount favorite bands from HealthKart,"{'entities': {'HealthKart': 'ORG'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'HealthKart']}",Exclusive Wellness offer from HealthKart! special did offer get exciting discount favorite bands from HealthKart ,"Dear Valued Customer,

Exclusive Wellness offer from HealthKart! special did offer get exciting discount favorite bands from HealthKart 

Best Regards,
Your Bank",Exclusive Wellness offer from HealthKart! special did offer get exciting discount favorite bands from HealthKart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from HealthKart! special did offer get exciting discount favorite bands from HealthKart </h2><p>Read more on our website...</p>,Exclusive Wellness offer from HealthKart! special ,Exclusive Illness offer from HealthKart! special did offer get exciting discount favorite bands from HealthKart 
Wellness,1mg,1500,40,Buy 1 Get 1 Free,Special Christmas Offer: Special discounts for loyal customers.,Cannot be clubbed with other offers.,Festive Bonanza,Use code at partner website.,Yes,Christmas,reward,special christmas offer special discounts loyal customers,special christmas offer special discount loyal customers from 1mg,"{'entities': {'1': 'CARDINAL'}, 'sentiment': 0.34920634920634924, 'keywords': ['special', 'christmas', 'offer', 'special', 'discount', 'loyal', 'customers', 'mg']}",Exclusive Wellness offer from 1mg! special christmas offer special discount loyal customers from 1mg ,"Dear Valued Customer,

Exclusive Wellness offer from 1mg! special christmas offer special discount loyal customers from 1mg 

Best Regards,
Your Bank",Exclusive Wellness offer from 1mg! special christmas offer special discount loyal customers from 1mg  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from 1mg! special christmas offer special discount loyal customers from 1mg </h2><p>Read more on our website...</p>,Exclusive Wellness offer from 1mg! special christm,Exclusive Illness offer from my! special christmas offer special discount loyal customers from my 
Wellness,Apollo Pharmacy,5000,35,15% Off,Limited time offer - grab now!,Applicable only on select products.,Festive Bonanza,Apply coupon at checkout.,No,,bonus,limited time offer grab,limited time offer grab from Apollo Pharmacy,"{'entities': {'Apollo Pharmacy': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Apollo', 'Pharmacy']}",Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy ,"Dear Valued Customer,

Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy 

Best Regards,
Your Bank",Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from Apollo Pharmacy! lim,Exclusive Illness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy 
Dining,Swiggy,2000,5,200 Off,Limited time offer - grab now!,Offer valid till stock lasts.,Flash Sale Special,Discount auto-applied on cart.,No,,bonus,limited time offer grab,limited time offer grab from Swiggy,"{'entities': {'Swiggy': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Swiggy']}",Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Swiggy! limited time o,Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Haste the best with premium dining discount.
Wellness,CureFit,5000,35,20% Off,Special Valentine's Offer: Limited time offer - grab now!,Cannot be clubbed with other offers.,Mega Cashback Offer,Show QR code at store.,Yes,Valentine's,reward,special valentine offer limited time offer grab,special valentine offer limited time offer grab from CureFit,"{'entities': {'CureFit': 'GPE'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'valentine', 'offer', 'limited', 'time', 'offer', 'grab', 'CureFit']}",Exclusive Wellness offer from CureFit! special valentine offer limited time offer grab from CureFit ,"Dear Valued Customer,

Exclusive Wellness offer from CureFit! special valentine offer limited time offer grab from CureFit 

Best Regards,
Your Bank",Exclusive Wellness offer from CureFit! special valentine offer limited time offer grab from CureFit  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from CureFit! special valentine offer limited time offer grab from CureFit </h2><p>Read more on our website...</p>,Exclusive Wellness offer from CureFit! special val,Exclusive Illness offer from CureFit! special valentine offer limited time offer grab from CureFit 
Wellness,PharmEasy,5000,20,500 Off,Limited time offer - grab now!,Terms and conditions apply as per the brand.,Flash Sale Special,Redeem via mobile app.,No,,reward,limited time offer grab,limited time offer grab from PharmEasy,"{'entities': {'PharmEasy': 'GPE'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'PharmEasy']}",Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy ,"Dear Valued Customer,

Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy 

Best Regards,
Your Bank",Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from PharmEasy! limited t,Exclusive Illness offer from PharmEasy! limited time offer grab from PharmEasy 
Home Needs,Amazon,100,15,100 Off,Special Holi Offer: Get exciting discounts on your favorite brands.,Valid for online purchase only.,Mega Cashback Offer,Show QR code at store.,Yes,Holi,shopping,special holi offer get exciting discounts favorite brands,special hold offer get exciting discount favorite bands from Amazon,"{'entities': {'Amazon': 'ORG'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'hold', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'Amazon']}",Exclusive Home Needs offer from Amazon! special hold offer get exciting discount favorite bands from Amazon ,"Dear Valued Customer,

Exclusive Home Needs offer from Amazon! special hold offer get exciting discount favorite bands from Amazon 

Best Regards,
Your Bank",Exclusive Home Needs offer from Amazon! special hold offer get exciting discount favorite bands from Amazon  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Amazon! special hold offer get exciting discount favorite bands from Amazon </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Amazon! special ho,Exclusive Some Needs offer from Amazon! special hold offer get exciting discount favorite bands from Amazon 
Wellness,Apollo Pharmacy,2000,10,15% Off,Special discounts for loyal customers.,Terms and conditions apply as per the brand.,Festive Bonanza,Use code at partner website.,No,,reward,special discounts loyal customers,special discount loyal customers from Apollo Pharmacy,"{'entities': {'Apollo Pharmacy': 'ORG'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'Apollo', 'Pharmacy']}",Exclusive Wellness offer from Apollo Pharmacy! special discount loyal customers from Apollo Pharmacy ,"Dear Valued Customer,

Exclusive Wellness offer from Apollo Pharmacy! special discount loyal customers from Apollo Pharmacy 

Best Regards,
Your Bank",Exclusive Wellness offer from Apollo Pharmacy! special discount loyal customers from Apollo Pharmacy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from Apollo Pharmacy! special discount loyal customers from Apollo Pharmacy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from Apollo Pharmacy! spe,Exclusive Illness offer from Apollo Pharmacy! special discount loyal customers from Apollo Pharmacy 
Wellness,Apollo Pharmacy,100,5,Buy 1 Get 1 Free,Special Christmas Offer: Limited time offer - grab now!,Valid for online purchase only.,Festive Bonanza,Redeem via mobile app.,Yes,Christmas,bonus,special christmas offer limited time offer grab,special christmas offer limited time offer grab from Apollo Pharmacy,"{'entities': {'Apollo Pharmacy': 'ORG'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'christmas', 'offer', 'limited', 'time', 'offer', 'grab', 'Apollo', 'Pharmacy']}",Exclusive Wellness offer from Apollo Pharmacy! special christmas offer limited time offer grab from Apollo Pharmacy ,"Dear Valued Customer,

Exclusive Wellness offer from Apollo Pharmacy! special christmas offer limited time offer grab from Apollo Pharmacy 

Best Regards,
Your Bank",Exclusive Wellness offer from Apollo Pharmacy! special christmas offer limited time offer grab from Apollo Pharmacy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from Apollo Pharmacy! special christmas offer limited time offer grab from Apollo Pharmacy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from Apollo Pharmacy! spe,Exclusive Illness offer from Apollo Pharmacy! special christmas offer limited time offer grab from Apollo Pharmacy 
